"State","Constituency","Candidates__Name","Candidates__Party","Candidates__EVM Votes","Candidates__Postal Votes","Candidates__Total Votes","Candidates__% of Votes","Total EVM Votes","Total Postal Votes","Total Votes","Winning Candidate","Winning Party"
"","","SAJESH ELAYIL","Bharatiya Janata Party","6469","172","6641","3.95","","","","",""
"","","Adv. T.K. RASHEEDALI","Communist Party of India  (Marxist)","75322","1663","76985","45.75","","","","",""
"","","ALI S/o ALAVI HAJI","Independent","193","0","193","0.11","","","","",""
"","","ALI S/o MUSTHAFA","Independent","345","5","350","0.21","","","","",""
"","","M.ALI","Independent","81","5","86","0.05","","","","",""
"","","RASHEEDALI S/o MAMMUNNI","Independent","168","15","183","0.11","","","","",""
"","","NOTA","None of the Above","590","9","599","0.36","","","","",""
"Kerala","Mannarkad","SIVADASAN","Bahujan Samaj Party","813","14","827","0.54","149538","2564","152102","ADVOCATE. N. SAMSUDHEEN","Indian Union Muslim League"
"","","ADVOCATE. N. SAMSUDHEEN","Indian Union Muslim League","70448","1209","71657","47.11","","","","",""
"","","K. P. SURESH RAJ","Communist Party of India","64621","1166","65787","43.25","","","","",""
"","","AGALI NASEEMA P","All India Anna Dravida Munnetra Kazhagam","10282","94","10376","6.82","","","","",""
"","","AJIKUMAR","Independent","157","2","159","0.1","","","","",""
"","","JAMES MASH","Independent","968","20","988","0.65","","","","",""
"","","SHIBU GEORGE","Independent","97","4","101","0.07","","","","",""
"","","SHAMSUDDEEN S/o. YUSAF","Independent","184","8","192","0.13","","","","",""
"","","SHAMSUDDEEN S/o. HAMZA","Independent","479","32","511","0.34","","","","",""
"","","SURESH","Independent","433","7","440","0.29","","","","",""
"","","SURESH BABU","Independent","303","1","304","0.2","","","","",""
"","","NOTA","None of the Above","753","7","760","0.5","","","","",""
"Kerala","Mattannur","ILLIKKAL AUGUSTHY","Revolutionary Socialist Party","34195","971","35166","22.67","150574","4560","155134","K K SHAILAJA TEACHER","Communist Party of India  (Marxist)"
"","","BIJU ELAKKUZHI","Bharatiya Janata Party","17815","408","18223","11.75","","","","",""
"","","K K SHAILAJA TEACHER","Communist Party of India  (Marxist)","93007","3122","96129","61.97","","","","",""
"","","RAFEEK KEECHERY","SOCIAL DEMOCRATIC PARTY OF INDIA","4173","28","4201","2.71","","","","",""
"","","AGUSTHY N A","Independent","603","16","619","0.4","","","","",""
"","","NOTA","None of the Above","781","15","796","0.51","","","","",""
"Kerala","Mavelikara","M S ARUN KUMAR","Communist Party of India  (Marxist)","69623","2120","71743","47.61","146030","4660","150690","M S ARUN KUMAR","Communist Party of India  (Marxist)"
"","","K K SHAJU","Indian National Congress","45246","1780","47026","31.21","","","","",""
"","","K SANJU","Bharatiya Janata Party","30215","740","30955","20.54","","","","",""
"","","K SASIKUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","147","4","151","0.1","","","","",""
"","","SURESH NOORANAD","Ambedkarite Party of India","158","7","165","0.11","","","","",""
"","","B SUBHASH","Independent","128","3","131","0.09","","","","",""
"","","NOTA","None of the Above","513","6","519","0.34","","","","",""
"Kerala","Muvattupuzha","ELDHO ABRAHAM","Communist Party of India","56949","1315","58264","40.36","140600","3754","144354","Dr. MATHEW KUZHALNADAN","Indian National Congress"
"","","JIJI JOSEPH","Bharatiya Janata Party","7335","192","7527","5.21","","","","",""
"","","Dr. MATHEW KUZHALNADAN","Indian National Congress","62417","2008","64425","44.63","","","","",""
"","","C. K. THAMPI","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","170","6","176","0.12","","","","",""
"","","Adv. C.N. PRAKASH","Twenty 20 Party","13308","227","13535","9.38","","","","",""
"","","NOTA","None of the Above","421","6","427","0.3","","","","",""
"Kerala","Nadapuram","ADV. K. PRAVEEN KUMAR","Indian National Congress","77103","2155","79258","45.16","170374","5129","175503","E. K. VIJAYAN","Communist Party of India"
"","","M. P. RAJAN","Bharatiya Janata Party","10320","217","10537","6","","","","",""
"","","E. K. VIJAYAN","Communist Party of India","80571","2722","83293","47.46","","","","",""
"","","K. K. NASAR MASTER","SOCIAL DEMOCRATIC PARTY OF INDIA","1654","22","1676","0.95","","","","",""
"","","SREEDHARAN K K","National Labour Party","163","2","165","0.09","","","","",""
"","","T.PRAVEEN KUMAR S/O KANNAN","Independent","256","2","258","0.15","","","","",""
"","","NOTA","None of the Above","307","9","316","0.18","","","","",""
"Kerala","Nattika","C C MUKUNDHAN","Communist Party of India","71297","1633","72930","47.49","150227","3327","153554","C C MUKUNDHAN","Communist Party of India"
"","","LOJANAN AMBATT","Bharatiya Janata Party","33190","526","33716","21.96","","","","",""
"","","VIMAL MALLIKA VIJAYAN","Bahujan Samaj Party","357","10","367","0.24","","","","",""
"","","ADV. SUNIL LALOOR","Indian National Congress","43379","1120","44499","28.98","","","","",""
"","","C S JITHESHKUMAR","Independent","604","13","617","0.4","","","","",""
"","","SIVARATHNAN ALATHI","Independent","585","10","595","0.39","","","","",""
"","","NOTA","None of the Above","815","15","830","0.54","","","","",""
"Kerala","Nedumangad","Adv. G. R. ANIL","Communist Party of India","70245","2497","72742","47.54","148255","4747","153002","Adv. G. R. ANIL","Communist Party of India"
"","","Adv. J. R. PADMAKUMAR","Bharatiya Janata Party","26242","619","26861","17.56","","","","",""
"","","P. S. PRASANTH","Indian National Congress","47877","1556","49433","32.31","","","","",""
"","","BIPIN PALLIPURAM","Bahujan Samaj Party","553","10","563","0.37","","","","",""
"","","IRSHAD KANYAKULANGARA","SOCIAL DEMOCRATIC PARTY OF INDIA","1867","17","1884","1.23","","","","",""
"","","EBINU. S","Independent","132","14","146","0.1","","","","",""
"","","THATHANKODU KANNAN","Independent","165","5","170","0.11","","","","",""
"","","PRASANTH. C S/o CHANDRAN. K","Independent","145","15","160","0.1","","","","",""
"","","HARI VELLANADU","Independent","126","0","126","0.08","","","","",""
"","","NOTA","None of the Above","903","14","917","0.6","","","","",""
"Kerala","Nemom","Kummanam Rajasekharan","Bharatiya Janata Party","50856","1032","51888","35.54","142582","3435","146017","V.Sivankutty","Communist Party of India  (Marxist)"
"","","K.Muraleedharan","Indian National Congress","35532","992","36524","25.01","","","","",""
"","","D.Vijayan","Bahujan Samaj Party","352","4","356","0.24","","","","",""
"","","V.Sivankutty","Communist Party of India  (Marxist)","54452","1385","55837","38.24","","","","",""
"","","Jain Wilson","Independent","164","1","165","0.11","","","","",""
"","","Balachandran Valkannadi","Independent","84","1","85","0.06","","","","",""
"","","Muraleedharan Nair","Independent","46","2","48","0.03","","","","",""
"","","Rajasekharan","Independent","46","4","50","0.03","","","","",""
"","","Arampally Vijayaraj","Independent","136","2","138","0.09","","","","",""
"","","Shine Raj.B","Independent","65","5","70","0.05","","","","",""
"","","L Sathyan Nadar","Independent","100","0","100","0.07","","","","",""
"","","NOTA","None of the Above","749","7","756","0.52","","","","",""
"Kerala","Nenmara","Prakash.C","Bahujan Samaj Party","1302","48","1350","0.89","147958","3577","151535","K. Babu","Communist Party of India  (Marxist)"
"","","K. Babu","Communist Party of India  (Marxist)","77887","2258","80145","52.89","","","","",""
"","","Anurag .A.N","Bharath Dharma Jana Sena","16388","278","16666","11","","","","",""
"","","C.N.Vijayakrishnan","Communist Marxist Party Kerala State Committee","50491","950","51441","33.95","","","","",""
"","","Babu S/o Kunchu","Independent","841","22","863","0.57","","","","",""
"","","NOTA","None of the Above","1049","21","1070","0.71","","","","",""
"Kerala","Neyyattinkara","K. ANSALAN","Communist Party of India  (Marxist)","63345","2152","65497","47.02","134789","4502","139291","K. ANSALAN","Communist Party of India  (Marxist)"
"","","PREMAKUMAR. T. R","Bahujan Samaj Party","626","17","643","0.46","","","","",""
"","","CHENKAL. S. RAJASEKHARAN NAIR","Bharatiya Janata Party","20475","534","21009","15.08","","","","",""
"","","SELVARAJ. R","Indian National Congress","49451","1784","51235","36.78","","","","",""
"","","NOTA","None of the Above","892","15","907","0.65","","","","",""
"Kerala","Nilambur","ADV. T. K ASHOKKUMAR","Bharatiya Janata Party","8440","155","8595","4.96","169461","3744","173205","P.V. ANVAR","Independent"
"","","ADV: V.V. PRAKASH","Indian National Congress","76713","1814","78527","45.34","","","","",""
"","","ANILA MATHEW","Indian Christian Secular Party","501","8","509","0.29","","","","",""
"","","K. BABU MANI","SOCIAL DEMOCRATIC PARTY OF INDIA","3249","32","3281","1.89","","","","",""
"","","P.V. ANVAR","Independent","79505","1722","81227","46.9","","","","",""
"","","SAJADURAHMAN.C.P","Independent","554","5","559","0.32","","","","",""
"","","NOTA","None of the Above","499","8","507","0.29","","","","",""
"Kerala","Ollur","Adv. B Gopalakrishnan","Bharatiya Janata Party","22065","230","22295","14.28","153563","2608","156171","K Rajan","Communist Party of India"
"","","Jose Valloor","Indian National Congress","54100","1051","55151","35.31","","","","",""
"","","K Rajan","Communist Party of India","75357","1300","76657","49.09","","","","",""
"","","P K Subramanian","Bahujan Samaj Party","276","6","282","0.18","","","","",""
"","","K K GEORGE KAKKASSERY","Independent","621","7","628","0.4","","","","",""
"","","Benny Kodiyatil","Independent","330","1","331","0.21","","","","",""
"","","NOTA","None of the Above","814","13","827","0.53","","","","",""
"Kerala","Ottapalam","Adv. K. PREMKUMAR","Communist Party of India  (Marxist)","72977","1882","74859","46.45","157398","3763","161161","Adv. K. PREMKUMAR","Communist Party of India  (Marxist)"
"","","P. VENUGOPALAN","Bharatiya Janata Party","24516","540","25056","15.55","","","","",""
"","","P.P. SIVAN","Bahujan Samaj Party","654","18","672","0.42","","","","",""
"","","DOCTOR P. SARIN","Indian National Congress","58399","1308","59707","37.05","","","","",""
"","","NOTA","None of the Above","852","15","867","0.54","","","","",""
"Kerala","Pala","JOY THOMAS VAZHAMATTOM","Bahujan Samaj Party","355","13","368","0.27","134122","4309","138431","MANI C KAPPEN","Independent"
"","","JOSE K. MANI","Kerala Congress  (M)","52697","1729","54426","39.32","","","","",""
"","","PRAMEELADEVI .J","Bharatiya Janata Party","10533","336","10869","7.85","","","","",""
"","","ALBIN MATHEW","Independent","118","3","121","0.09","","","","",""
"","","C. V. JOHN","Independent","243","6","249","0.18","","","","",""
"","","THOMAS J. NIDIRY","Independent","158","2","160","0.12","","","","",""
"","","MANI C KAPPEN","Independent","67638","2166","69804","50.43","","","","",""
"","","MANI C. KURIAKOSE","Independent","1065","33","1098","0.79","","","","",""
"","","SREEJITH V S","Independent","191","4","195","0.14","","","","",""
"","","SANTHOSH PULICKAL","Independent","439","5","444","0.32","","","","",""
"","","SUNIL ALANCHERIL","Independent","88","5","93","0.07","","","","",""
"","","NOTA","None of the Above","597","7","604","0.44","","","","",""
"Kerala","Palakkad","Adv.  C.P. PROMOD","Communist Party of India  (Marxist)","35622","811","36433","25.64","139192","2912","142104","SHAFI PARAMBIL","Indian National Congress"
"","","E.T.K. VALSAN","Bahujan Samaj Party","348","11","359","0.25","","","","",""
"","","E. SREEDHARAN","Bharatiya Janata Party","49155","1065","50220","35.34","","","","",""
"","","SHAFI PARAMBIL","Indian National Congress","53080","999","54079","38.06","","","","",""
"","","JAYAPRAKASH. J","Samajwadi Forward Bloc","217","4","221","0.16","","","","",""
"","","K. RAJESH","Akhil Bharat Hindu Mahasabha","104","1","105","0.07","","","","",""
"","","V. SACHIDANANDAN","Independent","152","7","159","0.11","","","","",""
"","","NOTA","None of the Above","514","14","528","0.37","","","","",""
"Kerala","Parassala","AN SAJITHA RESSAL.R.K","Indian National Congress","51273","1447","52720","32.33","158727","4363","163090","C.K.HAREENDRAN","Communist Party of India  (Marxist)"
"","","J.R.JAYAKUMAR","Bahujan Samaj Party","775","3","778","0.48","","","","",""
"","","KARAMANA JAYAN","Bharatiya Janata Party","29195","655","29850","18.3","","","","",""
"","","C.K.HAREENDRAN","Communist Party of India  (Marxist)","76302","2246","78548","48.16","","","","",""
"","","SHAJU PALIYODU","Independent","400","2","402","0.25","","","","",""
"","","SELVARAJ.J.R","Independent","159","3","162","0.1","","","","",""
"","","NOTA","None of the Above","623","7","630","0.39","","","","",""
"Kerala","Paravur","M.T. NIXON","Communist Party of India","59675","1288","60963","38.44","155316","3278","158594","V.D. SATHEESAN","Indian National Congress"
"","","N.K.BIJU","Bahujan Samaj Party","708","16","724","0.46","","","","",""
"","","V.D. SATHEESAN","Indian National Congress","80463","1801","82264","51.87","","","","",""
"","","A.B. JAYAPRAKASH","Bharath Dharma Jana Sena","12818","146","12964","8.17","","","","",""
"","","PRASANTH","Independent","276","3","279","0.18","","","","",""
"","","SATHYANESAN EZHIKKARA","Independent","283","4","287","0.18","","","","",""
"","","NOTA","None of the Above","1093","20","1113","0.7","","","","",""
"Kerala","Pathanapuram","V.S. JITHIN DEV","Bharatiya Janata Party","12096","302","12398","9.05","133075","3961","137036","K.B. GANESH KUMAR","Kerala Congress (B)"
"","","JYOTHIKUMAR CHAMAKKALA","Indian National Congress","51350","1590","52940","38.63","","","","",""
"","","P. KRISHNAMMAL","Marxist Communist Party of India (United)","2062","29","2091","1.53","","","","",""
"","","K.B. GANESH KUMAR","Kerala Congress (B)","65304","1972","67276","49.09","","","","",""
"","","ADV. FAIZY. M. PASHA","SOCIAL DEMOCRATIC PARTY OF INDIA","1179","13","1192","0.87","","","","",""
"","","BAIJU PATHANAPURAM","Anna Democratic Human Rights Movement Party of India","395","16","411","0.3","","","","",""
"","","AJI KADASSERY","Independent","247","7","254","0.19","","","","",""
"","","NOTA","None of the Above","442","32","474","0.35","","","","",""
"Kerala","Pattambi","Narayanan. T.P","Bahujan Samaj Party","504","13","517","0.34","149076","2833","151909","Muhammed Muhassin","Communist Party of India"
"","","Muhammed Muhassin","Communist Party of India","73761","1550","75311","49.58","","","","",""
"","","K.M.Haridas","Bharatiya Janata Party","14231","347","14578","9.6","","","","",""
"","","Riyas Mukkoli","Indian National Congress","56480","857","57337","37.74","","","","",""
"","","Ameer Ali .S.P","SOCIAL DEMOCRATIC PARTY OF INDIA","2946","29","2975","1.96","","","","",""
"","","S. Mujeeb Rehman","Welfare Party Of India","776","25","801","0.53","","","","",""
"","","NOTA","None of the Above","378","12","390","0.26","","","","",""
"Kerala","Payyannur","M PRADEEP KUMAR","Indian National Congress","42723","1192","43915","29.29","144667","5278","149945","T  I MADHUSOODANAN","Communist Party of India  (Marxist)"
"","","T  I MADHUSOODANAN","Communist Party of India  (Marxist)","89909","3786","93695","62.49","","","","",""
"","","Adv  K K SREEDHARAN","Bharatiya Janata Party","11048","260","11308","7.54","","","","",""
"","","ABHILASH K V","Independent","334","7","341","0.23","","","","",""
"","","NOTA","None of the Above","653","33","686","0.46","","","","",""
"Kerala","Peerumade","BIJU MATTAPPALLY","Bahujan Samaj Party","812","6","818","0.64","125912","1379","127291","VAZHOOR SOMAN","Communist Party of India"
"","","VAZHOOR SOMAN","Communist Party of India","59518","623","60141","47.25","","","","",""
"","","SREENAGARI RAJAN","Bharatiya Janata Party","7085","41","7126","5.6","","","","",""
"","","Adv.SYRIAC THOMAS","Indian National Congress","57601","705","58306","45.81","","","","",""
"","","P.K GOPALAKRISHNAN","Independent","249","2","251","0.2","","","","",""
"","","SOMAN","Independent","247","1","248","0.19","","","","",""
"","","NOTA","None of the Above","400","1","401","0.32","","","","",""
"Kerala","Perambra","T.P.  RAMAKRISHNAN","Communist Party of India  (Marxist)","82691","3332","86023","52.54","158120","5617","163737","T.P.  RAMAKRISHNAN","Communist Party of India  (Marxist)"
"","","ADV. K V SUDHEER","Bharatiya Janata Party","10834","331","11165","6.82","","","","",""
"","","ISMAIL KAMMANA","SOCIAL DEMOCRATIC PARTY OF INDIA","1441","24","1465","0.89","","","","",""
"","","C H EBRAHIMKUTTY S/O KUNJAMMED","Independent","61530","1901","63431","38.74","","","","",""
"","","IBRAHIMKUTTY M  S/O  POKKER","Independent","900","15","915","0.56","","","","",""
"","","V K CHANDRAN","Independent","275","5","280","0.17","","","","",""
"","","NOTA","None of the Above","449","9","458","0.28","","","","",""
"Kerala","Peravoor","K V Sakkeer Hussain","Communist Party of India  (Marxist)","61942","1592","63534","44.7","138373","3765","142138","Adv. Sunny Joseph","Indian National Congress"
"","","Adv. Sunny Joseph","Indian National Congress","64784","1922","66706","46.93","","","","",""
"","","Smitha Jayamohan","Bharatiya Janata Party","8956","199","9155","6.44","","","","",""
"","","A C Jalaluddeen","SOCIAL DEMOCRATIC PARTY OF INDIA","1530","11","1541","1.08","","","","",""
"","","John Pallikkamalil","Secular Democratic Congress","88","4","92","0.06","","","","",""
"","","P K Saji","New Labour Party","104","2","106","0.07","","","","",""
"","","Narayanakumar","Independent","55","5","60","0.04","","","","",""
"","","Sakkeer E K   S/o Asiya","Independent","101","15","116","0.08","","","","",""
"","","Sakkeer Hussain S/o Hamsa","Independent","240","3","243","0.17","","","","",""
"","","Sunny Muthukulathel","Independent","60","0","60","0.04","","","","",""
"","","Sunny Vazhakkamalayil","Independent","121","0","121","0.09","","","","",""
"","","NOTA","None of the Above","392","12","404","0.28","","","","",""
"Kerala","Perinthalmanna","NAJEEB KANTHAPURAM","Indian Union Muslim League","75264","1266","76530","46.21","162706","2910","165616","NAJEEB KANTHAPURAM","Indian Union Muslim League"
"","","SUCHITHRA","Bharatiya Janata Party","7846","175","8021","4.84","","","","",""
"","","ADV ABDUL AFSAL P T","Independent","897","9","906","0.55","","","","",""
"","","NAJEEB KUTTEERI","Independent","822","6","828","0.5","","","","",""
"","","MUSTHAFA  S/o MUHAMMED","Independent","469","2","471","0.28","","","","",""
"","","MUSTHAFA P K   S/o SAIDALAVI","Independent","738","12","750","0.45","","","","",""
"","","MUHAMMED MUSTHAFA K P","Independent","747","4","751","0.45","","","","",""
"","","K P M MUSTHAFA   S/o MUHAMMEDALI HAJI","Independent","75067","1425","76492","46.19","","","","",""
"","","NOTA","None of the Above","856","11","867","0.52","","","","",""
"Kerala","Perumbavoor","Adv ELDOSE P KUNNAPILLIL","Indian National Congress","52055","1429","53484","37.1","140845","3326","144171","Adv ELDOSE P KUNNAPILLIL","Indian National Congress"
"","","BABU JOSEPH PERUMBAVOOR","Kerala Congress  (M)","49438","1147","50585","35.09","","","","",""
"","","Adv.T P SINDHUMOL","Bharatiya Janata Party","14813","322","15135","10.5","","","","",""
"","","AJMAL K MUJEEB","SOCIAL DEMOCRATIC PARTY OF INDIA","2483","11","2494","1.73","","","","",""
"","","ARSHAD K M","Welfare Party Of India","1029","9","1038","0.72","","","","",""
"","","Chithra Sukumaran","Twenty 20 Party","20153","383","20536","14.24","","","","",""
"","","BABU JOSEPH ERUMALA","Independent","188","8","196","0.14","","","","",""
"","","NOTA","None of the Above","686","17","703","0.49","","","","",""
"Kerala","Piravom","M ASHISH","Bharatiya Janata Party","10782","239","11021","6.97","153535","4562","158097","ANOOP JACOB","Kerala Congress  (Jacob)"
"","","Dr. SINDHUMOL JACOB","Kerala Congress  (M)","58041","1651","59692","37.76","","","","",""
"","","ANOOP JACOB","Kerala Congress  (Jacob)","82436","2620","85056","53.8","","","","",""
"","","C N MUKUNDAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","440","14","454","0.29","","","","",""
"","","RENJU P B","Independent","200","2","202","0.13","","","","",""
"","","SINDHUMOL C","Independent","551","12","563","0.36","","","","",""
"","","NOTA","None of the Above","1085","24","1109","0.7","","","","",""
"Kerala","Ponnani","P NANDAKUMAR","Communist Party of India  (Marxist)","73331","1337","74668","51.35","142941","2481","145422","P NANDAKUMAR","Communist Party of India  (Marxist)"
"","","Adv. A.M. ROHITH","Indian National Congress","56694","931","57625","39.63","","","","",""
"","","ANVAR PAZHANJI","SOCIAL DEMOCRATIC PARTY OF INDIA","3041","24","3065","2.11","","","","",""
"","","GANESH VADERI","Welfare Party Of India","1820","43","1863","1.28","","","","",""
"","","SUBRAMANNIAN CHUNKAPPALLII","Bharath Dharma Jana Sena","7302","117","7419","5.1","","","","",""
"","","Adv. ROSHITH. M.P.","Independent","147","21","168","0.12","","","","",""
"","","K SADANANDAN","Independent","144","3","147","0.1","","","","",""
"","","NOTA","None of the Above","462","5","467","0.32","","","","",""
"Kerala","Poonjar","Ancy George","Bahujan Samaj Party","590","6","596","0.43","137032","2862","139894","Adv. Sebastian Kulathunkal","Kerala Congress  (M)"
"","","Adv. Tomy Kallany","Indian National Congress","33694","939","34633","24.76","","","","",""
"","","Adv. Sebastian Kulathunkal","Kerala Congress  (M)","57630","1038","58668","41.94","","","","",""
"","","Abdu Samad","Kerala Janatha Party","253","6","259","0.19","","","","",""
"","","P.C.George Plathottam","Kerala Janapaksham (Secular),","41049","802","41851","29.92","","","","",""
"","","M. P. Sen","Bharath Dharma Jana Sena","2928","37","2965","2.12","","","","",""
"","","Albin Mathew","Independent","201","4","205","0.15","","","","",""
"","","M. V. George","Independent","264","14","278","0.2","","","","",""
"","","Tomy Chemarapallil","Independent","91","3","94","0.07","","","","",""
"","","NOTA","None of the Above","332","13","345","0.25","","","","",""
"Kerala","Punalur","ABDURAHIMAN RANDATHANI","Indian Union Muslim League","42448","923","43371","29.66","142770","3481","146251","P S SUPAL","Communist Party of India"
"","","AYOOR MURALI","Bharatiya Janata Party","19692","377","20069","13.72","","","","",""
"","","P S SUPAL","Communist Party of India","78323","2105","80428","54.99","","","","",""
"","","PRAKASH ANCHAL","Anna Democratic Human Rights Movement Party of India","397","10","407","0.28","","","","",""
"","","K MAHESH","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","390","17","407","0.28","","","","",""
"","","THENMALA NAGARAJAN","Independent","254","10","264","0.18","","","","",""
"","","SHIBU M SKARIA","Independent","594","23","617","0.42","","","","",""
"","","NOTA","None of the Above","672","16","688","0.47","","","","",""
"Kerala","Puthukkad","A. Nagesh (Parameswaran.A)","Bharatiya Janata Party","34200","693","34893","22.33","151948","4335","156283","K.K. Ramachandran","Communist Party of India  (Marxist)"
"","","P.C. Pushpakaran","Bahujan Samaj Party","440","15","455","0.29","","","","",""
"","","K.K. Ramachandran","Communist Party of India  (Marxist)","71250","2115","73365","46.94","","","","",""
"","","Sunil Anthikkad (Sunilkumar. P.V)","Indian National Congress","44530","1482","46012","29.44","","","","",""
"","","Rajesh Appatt","Communist Party of India (Marxist-Leninist) Red Star","475","14","489","0.31","","","","",""
"","","NOTA","None of the Above","1053","16","1069","0.68","","","","",""
"Kerala","Puthuppally","ABHILASH P P","Bahujan Samaj Party","751","12","763","0.58","128843","2954","131797","OOMMEN CHANDY","Indian National Congress"
"","","OOMMEN CHANDY","Indian National Congress","61606","1766","63372","48.08","","","","",""
"","","JAICK C THOMAS","Communist Party of India  (Marxist)","53379","949","54328","41.22","","","","",""
"","","N HARI","Bharatiya Janata Party","11495","199","11694","8.87","","","","",""
"","","M V CHERIAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","141","5","146","0.11","","","","",""
"","","GEORGE JOSEPH VATHAPPALLY","Independent","988","9","997","0.76","","","","",""
"","","NOTA","None of the Above","483","14","497","0.38","","","","",""
"Kerala","Quilandy","Kanathil Jameela","Communist Party of India  (Marxist)","73406","2222","75628","46.66","158155","3929","162084","Kanathil Jameela","Communist Party of India  (Marxist)"
"","","N.P. Radhakrishnan","Bharatiya Janata Party","17213","342","17555","10.83","","","","",""
"","","N. Subramaniyan","Indian National Congress","65807","1349","67156","41.43","","","","",""
"","","Praveen Cheruvath","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","221","0","221","0.14","","","","",""
"","","Jameela. P.P.","Independent","646","5","651","0.4","","","","",""
"","","Subrahmanyan Kanaran","Independent","380","1","381","0.24","","","","",""
"","","NOTA","None of the Above","482","10","492","0.3","","","","",""
"Kerala","Ranni","Adv. Anumol N.","Bahujan Samaj Party","1132","27","1159","0.91","123598","4179","127777","Adv. Pramod Narayan","Kerala Congress  (M)"
"","","Adv. Pramod Narayan","Kerala Congress  (M)","51111","1558","52669","41.22","","","","",""
"","","Rinku Cherian","Indian National Congress","49398","1986","51384","40.21","","","","",""
"","","Asharaf Pezhumkattil","SOCIAL DEMOCRATIC PARTY OF INDIA","875","11","886","0.69","","","","",""
"","","Jomon Kochethu","Rashtriya Janata Dal","336","3","339","0.27","","","","",""
"","","K. Padmakumar","Bharath Dharma Jana Sena","19043","544","19587","15.33","","","","",""
"","","Aji B. Ranni","Independent","269","13","282","0.22","","","","",""
"","","Benny Puthenparampil (Thomas Mathew)","Independent","818","24","842","0.66","","","","",""
"","","Adv. Manju K. Nair (Kottarathil)","Independent","194","4","198","0.15","","","","",""
"","","NOTA","None of the Above","422","9","431","0.34","","","","",""
"Kerala","Shornur","AYYAPPAN KUTTY. T.C.","Bahujan Samaj Party","875","8","883","0.58","148683","3228","151911","P. MAMMIKUTTY","Communist Party of India  (Marxist)"
"","","FIROZ BABU.T.H","Indian National Congress","36940","786","37726","24.83","","","","",""
"","","P. MAMMIKUTTY","Communist Party of India  (Marxist)","72641","1759","74400","48.98","","","","",""
"","","SANDEEP VARIER","Bharatiya Janata Party","36317","656","36973","24.34","","","","",""
"","","MUHAMMAD MUSTHAFA","SOCIAL DEMOCRATIC PARTY OF INDIA","1242","9","1251","0.82","","","","",""
"","","NOTA","None of the Above","668","10","678","0.45","","","","",""
"Kerala","Sulthanbathery","C.K JANU","Bharatiya Janata Party","14934","264","15198","9.08","163574","3858","167432","I.C BALAKRISHNAN","Indian National Congress"
"","","I.C BALAKRISHNAN","Indian National Congress","79152","1925","81077","48.42","","","","",""
"","","M.S VISWANATHAN","Communist Party of India  (Marxist)","67616","1639","69255","41.36","","","","",""
"","","ONDAN PANIYAN","Independent","730","12","742","0.44","","","","",""
"","","NOTA","None of the Above","1142","18","1160","0.69","","","","",""
"Kerala","Taliparamba","M V GOVINDAN MASTER","Communist Party of India  (Marxist)","89248","3622","92870","52.14","172482","5630","178112","M V GOVINDAN MASTER","Communist Party of India  (Marxist)"
"","","A P GANGADHARAN","Bharatiya Janata Party","12737","321","13058","7.33","","","","",""
"","","ADV. V P ABDUL RASHEED","Indian National Congress","68539","1642","70181","39.4","","","","",""
"","","ABDUL RASHEED  S/o ISMAIL","Independent","364","1","365","0.2","","","","",""
"","","GOVINDAN KARAYAPATH","Independent","138","12","150","0.08","","","","",""
"","","C BALAKRISHNAN YADAV","Independent","186","5","191","0.11","","","","",""
"","","SHIJITH K O P","Independent","497","11","508","0.29","","","","",""
"","","NOTA","None of the Above","773","16","789","0.44","","","","",""
"Kerala","Tanur","K.NARAYANAN MASTER","Bharatiya Janata Party","10371","219","10590","6.94","150345","2225","152570","V.ABDURAHIMAN","National Secular Conference"
"","","P.K.FIROS","Indian Union Muslim League","68810","909","69719","45.7","","","","",""
"","","MUEENUDHEEN","Bahujan Samaj Party","183","0","183","0.12","","","","",""
"","","V.ABDURAHIMAN","National Secular Conference","69633","1071","70704","46.34","","","","",""
"","","ABDURAHIMAN.V S/o Alavi Haji","Independent","177","2","179","0.12","","","","",""
"","","V.ABDURAHIMAN S/o Kathiyamu","Independent","220","4","224","0.15","","","","",""
"","","ABDURAHIMAN.V S/o Muhammed","Independent","100","2","102","0.07","","","","",""
"","","KUNHI MOHAMED MUTHANIKKAD BAPPUTTY","Independent","207","6","213","0.14","","","","",""
"","","FIROZ S/o Avarankutty","Independent","72","1","73","0.05","","","","",""
"","","FIROZ S/o Kunhumarakkar","Independent","244","3","247","0.16","","","","",""
"","","NOTA","None of the Above","328","8","336","0.22","","","","",""
"Kerala","Tarur","JAYAPRAKASAN K.P.","Bharatiya Janata Party","18237","228","18465","14.06","128952","2395","131347","P.P.SUMOD","Communist Party of India  (Marxist)"
"","","K.A.SHEEBA","Indian National Congress","42271","942","43213","32.9","","","","",""
"","","P.P.SUMOD","Communist Party of India  (Marxist)","66560","1184","67744","51.58","","","","",""
"","","C.A.USHAKUMARI","Welfare Party Of India","956","29","985","0.75","","","","",""
"","","NOTA","None of the Above","928","12","940","0.72","","","","",""
